dateTime,value
2019-08-13,20609
2019-08-14,9571
2019-08-15,17245
2019-08-16,18747
2019-08-17,5382
2019-08-18,15627
2019-08-19,10108
2019-08-20,14963
2019-08-21,12450
2019-08-22,7169
2019-08-23,17004
2019-08-24,6797
2019-08-25,11035
2019-08-26,7039
2019-08-27,16345
2019-08-28,16681
2019-08-29,19313
2019-08-30,17200
2019-08-31,17096
2019-09-01,9740
2019-09-02,7945
2019-09-03,8060
2019-09-04,12264
2019-09-05,7366
2019-09-06,11397
2019-09-07,4198
2019-09-08,18351
2019-09-09,9142
2019-09-10,6149
2019-09-11,9320
2019-09-12,5755
2019-09-13,11222
2019-09-14,7929
2019-09-15,11405
2019-09-16,7941
2019-09-17,6428
2019-09-18,13887
2019-09-19,16277
2019-09-20,11145
2019-09-21,10540
2019-09-22,8854
2019-09-23,10406
2019-09-24,7251
2019-09-25,7000
2019-09-26,13307
2019-09-27,7060
2019-09-28,4382
2019-09-29,5404
2019-09-30,9361
2019-10-01,7444
2019-10-02,9073
2019-10-03,9707
2019-10-04,10582
2019-10-05,14688
2019-10-06,12141
2019-10-07,7531
2019-10-08,10442
2019-10-09,10178
2019-10-10,16780
2019-10-11,11577
2019-10-12,10530
2019-10-13,11278
2019-10-14,2922
2019-10-15,7308
2019-10-16,8398
2019-10-17,6662
2019-10-18,6691
2019-10-19,5255
2019-10-20,9115
2019-10-21,14260
2019-10-22,5006
2019-10-23,7782
2019-10-24,6197
2019-10-25,5365
2019-10-26,3151
2019-10-27,6590
2019-10-28,8957
2019-10-29,7539
2019-10-30,8196
2019-10-31,5862
2019-11-01,7109
2019-11-02,4778
2019-11-03,3738
2019-11-04,6202
2019-11-05,5100
2019-11-06,5424
2019-11-07,9291
2019-11-08,8389
2019-11-09,5068
2019-11-10,5457
2019-11-11,7654
2019-11-12,8555
2019-11-13,11904
2019-11-14,12904
2019-11-15,7821
2019-11-16,8490
2019-11-17,2335
2019-11-18,7037
2019-11-19,7163
2019-11-20,3487
2019-11-21,5892
2019-11-22,7808
2019-11-23,2425
2019-11-24,2382
2019-11-25,6804
2019-11-26,5831
2019-11-27,7290
2019-11-28,6188
2019-11-29,5395
2019-11-30,6423
2019-12-01,2185
2019-12-02,8239
2019-12-03,8512
2019-12-04,2613
2019-12-05,1019
2019-12-06,3695
2019-12-07,5042
2019-12-08,5542
2019-12-09,5185
2019-12-10,8887
2019-12-11,6131
2019-12-12,3646
2019-12-13,11264
2019-12-14,4514
2019-12-15,5680
2019-12-16,10496
2019-12-18,6060
2019-12-19,7972
2019-12-20,10738
2019-12-21,4697
2019-12-22,4630
